Grassland Type,BGB (g m-2),AGB (g m-2),Species richness (N)
Temperate grassland,1897.274,104.239,10.250
Temperate grassland,1213.948,66.465,7.000
Temperate grassland,1642.631,23.252,6.333
Temperate grassland,3017.866,62.848,4.000
Temperate grassland,627.827,28.956,6.333
Temperate grassland,882.714,85.454,5.667
Temperate grassland,4516.271,85.664,7.000
Temperate grassland,890.861,59.344,11.333
Temperate grassland,1088.604,34.485,8.000
Temperate grassland,332.460,31.215,13.200
Temperate grassland,2926.779,129.312,16.333
Temperate grassland,1310.841,172.393,6.333
Temperate grassland,363.329,26.132,18.667
Temperate grassland,1541.700,103.853,13.000
Temperate grassland,1164.930,92.051,12.800
Temperate grassland,1138.256,151.894,12.700
Desert grassland,884.484,32.675,5.000
Desert grassland,501.892,54.376,9.200
Desert grassland,199.715,2.890,11.400
Desert grassland,1650.783,47.340,5.000
Desert grassland,180.876,5.003,12.800
Desert grassland,1572.208,24.403,8.000
Desert grassland,337.435,9.356,1.000
Desert grassland,630.957,19.953,2.000
Desert grassland,501.187,15.849,1.000
Desert grassland,562.341,17.783,1.330
Desert grassland,1513.561,23.442,2.330
Meadow steppe,3005.453,134.276,19.200
Meadow steppe,1778.279,95.761,9.333
Meadow steppe,4992.982,66.998,14.667
Meadow steppe,852.786,33.884,14.333
Meadow steppe,3902.204,158.708,24.400
Meadow steppe,6535.066,96.928,15.667
Meadow steppe,6553.903,144.790,17.400
Meadow steppe,4381.572,64.632,17.000
Meadow steppe,8370.858,209.402,16.000
Meadow steppe,6944.804,232.333,16.333
Meadow steppe,801.863,39.902,11.333
Meadow steppe,2693.891,168.008,15.667
Meadow steppe,5220.595,32.467,18.500
Meadow steppe,3352.664,59.592,11.667
Meadow steppe,3409.573,52.784,14.800
Meadow steppe,977.665,41.936,7.000
Meadow steppe,1994.619,102.520,10.333
Meadow steppe,3035.428,203.409,20.800
Meadow steppe,5540.641,159.258,15.000
Meadow steppe,1814.262,24.547,8.000
Meadow steppe,4571.513,157.319,16.000
Meadow steppe,2986.276,142.512,21.600
Meadow steppe,2355.971,86.304,19.200
Meadow steppe,7512.422,94.824,9.667
Meadow steppe,5763.151,59.536,5.333
Meadow steppe,3235.937,80.000,15.500
Meadow steppe,4168.694,100.000,16.000
Meadow steppe,3548.134,89.999,15.000
Meadow steppe,2683.490,70.684,13.667
Meadow steppe,2623.614,45.852,13.800
Alpine meadow,2630.268,64.710,5.333
Alpine meadow,3202.506,239.817,13.667
Alpine meadow,3376.137,106.682,16.600
Alpine meadow,3704.162,108.360,17.000
Alpine meadow,2454.709,68.025,8.333
Alpine meadow,4559.739,23.818,11.000
Alpine meadow,4330.819,66.874,13.000
Alpine meadow,4668.528,140.883,12.000
Alpine meadow,3948.935,58.289,11.667
Alpine meadow,4132.568,62.090,9.800
Alpine meadow,3100.273,54.733,10.333
Alpine meadow,1778.279,147.877,6.000
Alpine meadow,2203.941,131.326,13.400
Alpine meadow,2691.535,53.495,15.333
Alpine meadow,2570.396,82.737,8.667
Alpine meadow,4178.689,33.721,7.333
Alpine meadow,5232.991,57.347,9.667
Alpine meadow,6344.100,88.457,13.400
Alpine meadow,1954.970,319.647,14.667
Alpine meadow,4698.184,42.822,7.667
Alpine meadow,3630.781,39.818,14.667
Alpine meadow,1779.877,319.308,24.000
Alpine meadow,1298.584,215.387,19.667