ID,Family,Population,pophost,nathost,Trmt,hatch.date,S1.cones,S2.cones,S3.cones,death.date,eclosion.date,sex,feeding1,lifespan,Dvpt.time
1,35,Plantation_Key,C.corindum,C.corindum,N,22-Apr,0,NA,NA,28-Apr,NA,NA,24,6,#VALUE!
2,35,Plantation_Key,C.corindum,K.paniculata,N,22-Apr,0,NA,NA,28-Apr,NA,NA,24,6,#VALUE!
3,35,Plantation_Key,C.corindum,K.elegans,N,22-Apr,0,NA,NA,27-Apr,NA,NA,24,5,#VALUE!
4,35,Plantation_Key,C.corindum,K.elegans,Y,22-Apr,3,2,NA,NA,2-Jun,F,24,#VALUE!,41
5,35,Plantation_Key,C.corindum,K.paniculata,Y,22-Apr,2,NA,NA,28-Apr,NA,NA,24,6,#VALUE!
6,35,Plantation_Key,C.corindum,C.corindum,Y,22-Apr,5,2,1,8-May,NA,NA,24,16,#VALUE!
7,37,Plantation_Key,C.corindum,K.elegans,N,22-Apr,0,NA,NA,26-Apr,NA,NA,24,4,#VALUE!
8,37,Plantation_Key,C.corindum,C.corindum,N,22-Apr,0,NA,NA,26-Apr,NA,NA,24,4,#VALUE!
9,37,Plantation_Key,C.corindum,K.paniculata,N,22-Apr,0,0,NA,NA,28-May,M,24,#VALUE!,36
10,37,Plantation_Key,C.corindum,C.corindum,Y,22-Apr,2,NA,NA,27-Apr,NA,NA,24,5,#VALUE!
11,37,Plantation_Key,C.corindum,K.paniculata,Y,23-Apr,2,NA,NA,28-Apr,NA,NA,44,5,#VALUE!
12,37,Plantation_Key,C.corindum,K.elegans,Y,22-Apr,2,NA,NA,28-Apr,NA,NA,24,6,#VALUE!
13,40,Plantation_Key,C.corindum,C.corindum,N,22-Apr,0,NA,NA,27-Apr,NA,NA,24,5,#VALUE!
14,40,Plantation_Key,C.corindum,K.elegans,N,22-Apr,0,NA,NA,26-Apr,NA,NA,24,4,#VALUE!
15,40,Plantation_Key,C.corindum,K.paniculata,N,22-Apr,0,NA,NA,29-Apr,NA,NA,24,7,#VALUE!
16,40,Plantation_Key,C.corindum,K.elegans,Y,22-Apr,3,4,NA,NA,4-Jun,F,24,#VALUE!,43
17,40,Plantation_Key,C.corindum,K.paniculata,Y,22-Apr,5,NA,NA,27-Apr,NA,NA,24,5,#VALUE!
18,40,Plantation_Key,C.corindum,C.corindum,Y,22-Apr,4,1,2,19-Jul,NA,NA,24,88,#VALUE!
19,6,Key_Largo,C.corindum,C.corindum,N,23-Apr,0,NA,NA,28-Apr,NA,NA,44,5,#VALUE!
20,6,Key_Largo,C.corindum,K.elegans,N,23-Apr,0,NA,NA,28-Apr,NA,NA,44,5,#VALUE!
21,6,Key_Largo,C.corindum,K.paniculata,N,23-Apr,0,NA,NA,28-Apr,NA,NA,44,5,#VALUE!
22,6,Key_Largo,C.corindum,K.elegans,Y,23-Apr,4,2,NA,NA,20-Jun,F,44,#VALUE!,58
23,6,Key_Largo,C.corindum,K.paniculata,Y,23-Apr,6,6,NA,NA,2-Jun,F,44,#VALUE!,40
24,6,Key_Largo,C.corindum,C.corindum,Y,23-Apr,2,3,3,7-May,NA,NA,44,14,#VALUE!
25,26,Key_Largo,C.corindum,C.corindum,N,23-Apr,0,0,0,NA,9-Jun,F,44,#VALUE!,47
26,26,Key_Largo,C.corindum,K.paniculata,N,23-Apr,0,NA,NA,29-Apr,NA,NA,44,6,#VALUE!
27,26,Key_Largo,C.corindum,K.elegans,N,24-Apr,0,NA,NA,29-Apr,NA,NA,44,5,#VALUE!
28,26,Key_Largo,C.corindum,C.corindum,Y,23-Apr,3,1,4,25-Jun,NA,NA,44,63,#VALUE!
29,26,Key_Largo,C.corindum,K.elegans,Y,24-Apr,4,2,NA,NA,1-Jul,F,44,#VALUE!,68
30,26,Key_Largo,C.corindum,K.paniculata,Y,23-Apr,4,3,NA,NA,7-Jun,F,44,#VALUE!,45
31,30,Key_Largo,C.corindum,C.corindum,N,23-Apr,0,NA,NA,27-Apr,NA,NA,44,4,#VALUE!
32,30,Key_Largo,C.corindum,K.paniculata,N,23-Apr,0,NA,NA,27-Apr,NA,NA,44,4,#VALUE!
33,30,Key_Largo,C.corindum,K.elegans,N,25-Apr,0,NA,NA,30-Apr,NA,NA,76,5,#VALUE!
34,30,Key_Largo,C.corindum,C.corindum,Y,23-Apr,1,NA,NA,28-Apr,NA,NA,44,5,#VALUE!
35,30,Key_Largo,C.corindum,K.paniculata,Y,23-Apr,2,NA,NA,29-Apr,NA,NA,44,6,#VALUE!
36,30,Key_Largo,C.corindum,K.elegans,Y,29-Apr,6,6,NA,NA,9-Jun,F,45,#VALUE!,41
37,34,Plantation_Key,C.corindum,K.elegans,N,23-Apr,0,NA,NA,29-Apr,NA,NA,45,6,#VALUE!
38,34,Plantation_Key,C.corindum,K.paniculata,N,23-Apr,0,NA,NA,28-Apr,NA,NA,45,5,#VALUE!
39,34,Plantation_Key,C.corindum,C.corindum,N,23-Apr,0,NA,NA,30-Apr,NA,NA,45,7,#VALUE!
40,34,Plantation_Key,C.corindum,K.paniculata,Y,23-Apr,3,NA,NA,29-Apr,NA,NA,45,6,#VALUE!
41,34,Plantation_Key,C.corindum,C.corindum,Y,23-Apr,1,NA,NA,28-Apr,NA,NA,45,5,#VALUE!
42,34,Plantation_Key,C.corindum,K.elegans,Y,24-Apr,2,1,NA,NA,2-Jun,M,51,#VALUE!,39
43,36,Plantation_Key,C.corindum,K.paniculata,N,23-Apr,0,NA,NA,28-Apr,NA,NA,45,5,#VALUE!
44,36,Plantation_Key,C.corindum,K.elegans,N,23-Apr,0,NA,NA,28-Apr,NA,NA,45,5,#VALUE!
45,36,Plantation_Key,C.corindum,C.corindum,N,23-Apr,0,NA,NA,28-Apr,NA,NA,45,5,#VALUE!
46,36,Plantation_Key,C.corindum,K.elegans,Y,23-Apr,1,3,NA,NA,27-May,M,45,#VALUE!,34
47,36,Plantation_Key,C.corindum,C.corindum,Y,23-Apr,1,3,3,22-Jun,NA,NA,45,60,#VALUE!
48,36,Plantation_Key,C.corindum,K.paniculata,Y,23-Apr,2,NA,NA,28-Apr,NA,NA,45,5,#VALUE!
49,38,Plantation_Key,C.corindum,C.corindum,N,23-Apr,0,NA,NA,28-Apr,NA,NA,45,5,#VALUE!
50,38,Plantation_Key,C.corindum,K.elegans,N,23-Apr,0,NA,NA,28-Apr,NA,NA,45,5,#VALUE!
51,38,Plantation_Key,C.corindum,K.paniculata,N,25-Apr,0,NA,NA,30-Apr,NA,NA,,5,#VALUE!
52,38,Plantation_Key,C.corindum,K.elegans,Y,23-Apr,3,NA,NA,28-Apr,NA,NA,45,5,#VALUE!
53,38,Plantation_Key,C.corindum,C.corindum,Y,23-Apr,2,2,2,NA,11-Jun,M,23,#VALUE!,49
54,38,Plantation_Key,C.corindum,K.paniculata,Y,26-Apr,2,NA,NA,29-Apr,NA,NA,45,3,#VALUE!
55,41,Plantation_Key,C.corindum,C.corindum,N,23-Apr,0,NA,NA,28-Apr,NA,NA,45,5,#VALUE!
56,41,Plantation_Key,C.corindum,K.elegans,N,24-Apr,0,NA,NA,29-Apr,NA,NA,51,5,#VALUE!
57,41,Plantation_Key,C.corindum,K.paniculata,N,24-Apr,0,NA,NA,29-Apr,NA,NA,54,5,#VALUE!
58,41,Plantation_Key,C.corindum,K.elegans,Y,24-Apr,3,5,NA,NA,17-Jun,M,51,#VALUE!,54
59,41,Plantation_Key,C.corindum,C.corindum,Y,23-Apr,1,5,2,7-Jul,NA,NA,23,75,#VALUE!
60,41,Plantation_Key,C.corindum,K.paniculata,Y,24-Apr,10,6,NA,4-May,NA,NA,54,10,#VALUE!
61,27,Key_Largo,C.corindum,C.corindum,N,23-Apr,0,0,0,NA,3-Jun,F,26,#VALUE!,41
62,27,Key_Largo,C.corindum,K.elegans,N,24-Apr,0,NA,NA,28-Apr,NA,NA,44,4,#VALUE!
63,27,Key_Largo,C.corindum,K.paniculata,N,24-Apr,0,NA,NA,29-Apr,NA,NA,44,5,#VALUE!
64,27,Key_Largo,C.corindum,K.elegans,Y,24-Apr,7,4,NA,8-Jul,NA,NA,44,75,#VALUE!
65,27,Key_Largo,C.corindum,C.corindum,Y,24-Apr,5,2,3,24-Jul,NA,NA,44,91,#VALUE!
66,27,Key_Largo,C.corindum,K.paniculata,Y,24-Apr,3,3,NA,NA,31-May,M,44,#VALUE!,37
67,39,Plantation_Key,C.corindum,C.corindum,N,25-Apr,0,NA,NA,29-Apr,NA,NA,46,4,#VALUE!
68,39,Plantation_Key,C.corindum,K.elegans,N,24-Apr,0,NA,NA,28-Apr,NA,NA,44,4,#VALUE!
69,39,Plantation_Key,C.corindum,K.paniculata,N,27-Apr,0,NA,NA,2-May,NA,NA,46,5,#VALUE!
70,39,Plantation_Key,C.corindum,K.elegans,Y,24-Apr,6,NA,NA,1-May,NA,NA,44,7,#VALUE!
71,39,Plantation_Key,C.corindum,K.paniculata,Y,27-Apr,3,NA,NA,1-May,NA,NA,46,4,#VALUE!
72,39,Plantation_Key,C.corindum,C.corindum,Y,27-Apr,2,3,5,11-May,NA,NA,46,14,#VALUE!
73,97,Leesburg,K.elegans,K.elegans,N,24-Apr,0,NA,NA,28-Apr,NA,NA,54,4,#VALUE!
74,97,Leesburg,K.elegans,C.corindum,N,24-Apr,0,NA,NA,28-Apr,NA,NA,54,4,#VALUE!
75,97,Leesburg,K.elegans,K.paniculata,N,24-Apr,0,NA,NA,28-Apr,NA,NA,54,4,#VALUE!
76,97,Leesburg,K.elegans,K.elegans,Y,24-Apr,5,7,NA,NA,11-Jun,F,54,#VALUE!,48
77,97,Leesburg,K.elegans,C.corindum,Y,24-Apr,2,1,1,NA,13-Jun,M,54,#VALUE!,50
78,97,Leesburg,K.elegans,K.paniculata,Y,25-Apr,5,NA,NA,29-Apr,NA,NA,45,4,#VALUE!
79,74,Leesburg,K.elegans,C.corindum,N,24-Apr,0,NA,NA,28-Apr,NA,NA,54,4,#VALUE!
80,74,Leesburg,K.elegans,K.elegans,N,25-Apr,0,NA,NA,28-Apr,NA,NA,73,3,#VALUE!
81,74,Leesburg,K.elegans,K.paniculata,N,25-Apr,0,NA,NA,29-Apr,NA,NA,49,4,#VALUE!
82,74,Leesburg,K.elegans,C.corindum,Y,25-Apr,4,NA,NA,28-Apr,NA,NA,73,3,#VALUE!
83,74,Leesburg,K.elegans,K.elegans,Y,25-Apr,4,NA,NA,29-Apr,NA,NA,73,4,#VALUE!
84,74,Leesburg,K.elegans,K.paniculata,Y,25-Apr,7,9,NA,NA,2-Jun,M,73,#VALUE!,38
85,87,Leesburg,K.elegans,C.corindum,N,24-Apr,0,NA,NA,28-Apr,NA,NA,54,4,#VALUE!
86,87,Leesburg,K.elegans,K.paniculata,N,24-Apr,0,NA,NA,29-Apr,NA,NA,54,5,#VALUE!
87,87,Leesburg,K.elegans,K.elegans,N,24-Apr,0,NA,NA,28-Apr,NA,NA,54,4,#VALUE!
88,87,Leesburg,K.elegans,C.corindum,Y,24-Apr,6,2,1,NA,17-Jun,M,54,#VALUE!,54
89,87,Leesburg,K.elegans,K.paniculata,Y,24-Apr,2,NA,NA,29-Apr,NA,NA,54,5,#VALUE!
90,87,Leesburg,K.elegans,K.elegans,Y,25-Apr,3,5,NA,NA,17-Jun,M,45,#VALUE!,53
91,60,Lake_Wales,K.elegans,K.paniculata,N,24-Apr,0,NA,NA,28-Apr,NA,NA,54,4,#VALUE!
92,60,Lake_Wales,K.elegans,C.corindum,N,25-Apr,0,NA,NA,28-Apr,NA,NA,46,3,#VALUE!
93,60,Lake_Wales,K.elegans,K.elegans,N,25-Apr,0,0,NA,NA,27-May,F,46,#VALUE!,32
94,60,Lake_Wales,K.elegans,K.paniculata,Y,25-Apr,3,5,NA,NA,8-Jun,M,46,#VALUE!,44
95,60,Lake_Wales,K.elegans,C.corindum,Y,25-Apr,2,1,2,21-May,NA,NA,46,26,#VALUE!
96,60,Lake_Wales,K.elegans,K.elegans,Y,25-Apr,2,NA,NA,29-Apr,NA,NA,46,4,#VALUE!
97,95,Leesburg,K.elegans,K.paniculata,N,25-Apr,0,NA,NA,29-Apr,NA,NA,45,4,#VALUE!
98,95,Leesburg,K.elegans,C.corindum,N,25-Apr,0,NA,NA,30-Apr,NA,NA,45,5,#VALUE!
99,95,Leesburg,K.elegans,K.elegans,N,25-Apr,0,0,NA,NA,26-May,F,45,#VALUE!,31
100,95,Leesburg,K.elegans,K.paniculata,Y,25-Apr,3,6,NA,NA,11-Jun,M,45,#VALUE!,47
101,95,Leesburg,K.elegans,C.corindum,Y,25-Apr,3,4,6,19-Jun,NA,NA,45,55,#VALUE!
102,95,Leesburg,K.elegans,K.elegans,Y,25-Apr,4,2,NA,NA,31-May,M,45,#VALUE!,36
103,88,Leesburg,K.elegans,K.paniculata,N,25-Apr,0,NA,NA,29-Apr,NA,NA,45,4,#VALUE!
104,88,Leesburg,K.elegans,C.corindum,N,26-Apr,0,0,0,NA,23-May,M,45,#VALUE!,27
105,88,Leesburg,K.elegans,K.elegans,N,26-Apr,0,0,NA,NA,27-May,M,45,#VALUE!,31
106,88,Leesburg,K.elegans,K.paniculata,Y,25-Apr,6,7,NA,NA,8-Jun,F,77,#VALUE!,44
107,88,Leesburg,K.elegans,C.corindum,Y,25-Apr,3,1,6,13-Jul,NA,NA,30,79,#VALUE!
108,88,Leesburg,K.elegans,K.elegans,Y,26-Apr,8,9,NA,NA,5-Jun,F,45,#VALUE!,40
109,85,Leesburg,K.elegans,C.corindum,N,25-Apr,0,NA,NA,30-Apr,NA,NA,45,5,#VALUE!
110,85,Leesburg,K.elegans,K.paniculata,N,25-Apr,0,NA,NA,30-Apr,NA,NA,45,5,#VALUE!
111,85,Leesburg,K.elegans,K.elegans,N,26-Apr,0,NA,NA,30-Apr,NA,NA,45,4,#VALUE!
112,85,Leesburg,K.elegans,C.corindum,Y,25-Apr,3,1,1,19-Jun,NA,NA,69,55,#VALUE!
113,85,Leesburg,K.elegans,K.paniculata,Y,25-Apr,3,NA,NA,1-May,NA,NA,45,6,#VALUE!
114,85,Leesburg,K.elegans,K.elegans,Y,26-Apr,2,NA,NA,1-May,NA,NA,45,5,#VALUE!
115,96,Leesburg,K.elegans,K.paniculata,N,25-Apr,0,NA,NA,29-Apr,NA,NA,45,4,#VALUE!
116,96,Leesburg,K.elegans,K.elegans,N,26-Apr,0,NA,NA,1-May,NA,NA,45,5,#VALUE!
117,96,Leesburg,K.elegans,C.corindum,N,26-Apr,0,NA,NA,1-May,NA,NA,45,5,#VALUE!
118,96,Leesburg,K.elegans,K.paniculata,Y,25-Apr,3,10,NA,NA,26-May,M,45,#VALUE!,31
119,96,Leesburg,K.elegans,K.elegans,Y,26-Apr,3,3,NA,NA,30-May,M,69,#VALUE!,34
120,96,Leesburg,K.elegans,C.corindum,Y,27-Apr,4,3,4,3-Jun,NA,NA,47,37,#VALUE!
121,89,Leesburg,K.elegans,K.paniculata,N,25-Apr,0,NA,NA,30-Apr,NA,NA,45,5,#VALUE!
122,89,Leesburg,K.elegans,K.elegans,N,25-Apr,0,NA,NA,29-Apr,NA,NA,77,4,#VALUE!
123,89,Leesburg,K.elegans,C.corindum,N,27-Apr,0,NA,NA,2-May,NA,NA,47,5,#VALUE!
124,89,Leesburg,K.elegans,K.paniculata,Y,25-Apr,5,NA,NA,30-Apr,NA,NA,45,5,#VALUE!
126,89,Leesburg,K.elegans,C.corindum,Y,28-Apr,2,2,3,NA,31-May,F,69,#VALUE!,33
127,101,Leesburg,K.elegans,K.elegans,N,25-Apr,0,NA,NA,28-Apr,NA,NA,45,3,#VALUE!
128,101,Leesburg,K.elegans,C.corindum,N,25-Apr,0,NA,NA,29-Apr,NA,NA,45,4,#VALUE!
129,101,Leesburg,K.elegans,K.paniculata,N,26-Apr,0,0,NA,NA,25-May,F,45,#VALUE!,29
130,101,Leesburg,K.elegans,K.elegans,Y,25-Apr,1,7,NA,NA,29-May,F,45,#VALUE!,34
131,101,Leesburg,K.elegans,C.corindum,Y,25-Apr,3,3,2,NA,16-Jun,M,29,#VALUE!,52
132,101,Leesburg,K.elegans,K.paniculata,Y,26-Apr,3,NA,NA,29-Apr,NA,NA,46,3,#VALUE!
134,92,Leesburg,K.elegans,K.paniculata,N,25-Apr,0,NA,NA,29-Apr,NA,NA,45,4,#VALUE!
135,92,Leesburg,K.elegans,C.corindum,N,25-Apr,0,NA,NA,29-Apr,NA,NA,45,4,#VALUE!
136,92,Leesburg,K.elegans,K.elegans,N,25-Apr,0,NA,NA,29-Apr,NA,NA,45,4,#VALUE!
137,92,Leesburg,K.elegans,K.paniculata,Y,25-Apr,5,NA,NA,30-Apr,NA,NA,45,5,#VALUE!
138,92,Leesburg,K.elegans,C.corindum,Y,25-Apr,3,2,1,31-May,NA,NA,45,36,#VALUE!
139,92,Leesburg,K.elegans,K.elegans,Y,25-Apr,1,NA,NA,29-Apr,NA,NA,69,4,#VALUE!
140,99,Leesburg,K.elegans,C.corindum,N,25-Apr,0,NA,NA,30-Apr,NA,NA,69.5,5,#VALUE!
141,99,Leesburg,K.elegans,K.paniculata,N,25-Apr,0,NA,NA,30-Apr,NA,NA,73,5,#VALUE!
142,99,Leesburg,K.elegans,K.elegans,N,26-Apr,0,0,NA,NA,25-May,F,46,#VALUE!,29
143,99,Leesburg,K.elegans,C.corindum,Y,25-Apr,3,1,2,NA,10-Jun,F,73,#VALUE!,46
144,99,Leesburg,K.elegans,K.paniculata,Y,25-Apr,2,NA,NA,30-Apr,NA,NA,77,5,#VALUE!
145,99,Leesburg,K.elegans,K.elegans,Y,27-Apr,4,6,NA,NA,31-May,F,47,#VALUE!,34
146,100,Leesburg,K.elegans,K.elegans,N,25-Apr,0,NA,NA,29-Apr,NA,NA,45.5,4,#VALUE!
147,100,Leesburg,K.elegans,C.corindum,N,25-Apr,0,NA,NA,29-Apr,NA,NA,45.5,4,#VALUE!
148,100,Leesburg,K.elegans,K.paniculata,N,25-Apr,0,NA,NA,29-Apr,NA,NA,45.5,4,#VALUE!
149,100,Leesburg,K.elegans,K.elegans,Y,25-Apr,4,5,NA,NA,13-Jun,F,45.5,#VALUE!,49
150,100,Leesburg,K.elegans,C.corindum,Y,25-Apr,3,1,1,NA,22-May,M,69.5,#VALUE!,27
151,100,Leesburg,K.elegans,K.paniculata,Y,26-Apr,6,8,NA,NA,27-May,M,46,#VALUE!,31
152,91,Leesburg,K.elegans,K.elegans,N,25-Apr,0,NA,NA,28-Apr,NA,NA,46,3,#VALUE!
153,91,Leesburg,K.elegans,C.corindum,N,25-Apr,0,NA,NA,30-Apr,NA,NA,70,5,#VALUE!
154,91,Leesburg,K.elegans,K.paniculata,N,26-Apr,0,NA,NA,30-Apr,NA,NA,46,4,#VALUE!
155,91,Leesburg,K.elegans,K.elegans,Y,25-Apr,2,NA,NA,29-Apr,NA,NA,46,4,#VALUE!
156,91,Leesburg,K.elegans,C.corindum,Y,25-Apr,1,NA,NA,30-Apr,NA,NA,46,5,#VALUE!
157,91,Leesburg,K.elegans,K.paniculata,Y,26-Apr,4,NA,NA,1-May,NA,NA,46,5,#VALUE!
158,94,Leesburg,K.elegans,K.paniculata,N,25-Apr,0,NA,NA,29-Apr,NA,NA,46,4,#VALUE!
159,94,Leesburg,K.elegans,K.elegans,N,26-Apr,0,NA,NA,2-May,NA,NA,49,6,#VALUE!
160,94,Leesburg,K.elegans,C.corindum,N,26-Apr,0,NA,NA,2-May,NA,NA,74,6,#VALUE!
161,94,Leesburg,K.elegans,K.paniculata,Y,26-Apr,3,10,NA,NA,31-May,M,46,#VALUE!,35
162,94,Leesburg,K.elegans,K.elegans,Y,25-Apr,4,4,NA,NA,14-Jun,M,30,#VALUE!,50
163,94,Leesburg,K.elegans,C.corindum,Y,27-Apr,1,4,2,3-Aug,NA,NA,47,98,#VALUE!
164,8,Key_Largo,C.corindum,K.elegans,N,25-Apr,0,NA,NA,30-Apr,NA,NA,73,5,#VALUE!
165,8,Key_Largo,C.corindum,C.corindum,N,26-Apr,0,NA,NA,2-May,NA,NA,46,6,#VALUE!
166,8,Key_Largo,C.corindum,K.paniculata,N,28-Apr,0,NA,NA,4-May,NA,NA,69,6,#VALUE!
167,8,Key_Largo,C.corindum,K.elegans,Y,25-Apr,4,2,NA,7-May,NA,NA,73,12,#VALUE!
168,8,Key_Largo,C.corindum,C.corindum,Y,28-Apr,2,NA,NA,3-May,NA,NA,45,5,#VALUE!
169,8,Key_Largo,C.corindum,K.paniculata,Y,28-Apr,1,NA,NA,5-May,NA,NA,69,7,#VALUE!
170,42,Lake_Wales,K.elegans,K.elegans,N,25-Apr,0,0,NA,NA,30-May,F,49,#VALUE!,35
171,42,Lake_Wales,K.elegans,C.corindum,N,25-Apr,0,0,0,6-May,NA,NA,49,11,#VALUE!
172,42,Lake_Wales,K.elegans,K.paniculata,N,25-Apr,0,NA,NA,2-May,NA,NA,73,7,#VALUE!
173,42,Lake_Wales,K.elegans,K.elegans,Y,25-Apr,1,1,NA,NA,29-May,F,49,#VALUE!,34
174,42,Lake_Wales,K.elegans,C.corindum,Y,25-Apr,4,1,2,20-Jul,NA,NA,73,86,#VALUE!
175,42,Lake_Wales,K.elegans,K.paniculata,Y,26-Apr,3,5,NA,NA,29-May,F,46,#VALUE!,33
176,59,Lake_Wales,K.elegans,K.paniculata,N,25-Apr,0,NA,NA,30-Apr,NA,NA,49,5,#VALUE!
177,59,Lake_Wales,K.elegans,K.elegans,N,28-Apr,0,NA,NA,3-May,NA,NA,95,5,#VALUE!
