femaleSpecies,maleSpecies,maleID,treatment,spendingTime,maleWeight,averageFemaleWeight,femaleWeight_poMinusga,po_femalePerga_female,exclude
gambusia,gambusia,g1,acclimation,584,0.11434,0.40975,0.0055,1.013513514,0
gambusia,gambusia,g10,acclimation,335,0.08593,0.31835,0.0791,1.283715925,0
gambusia,gambusia,g11,acclimation,205,0.10876,0.56083,0.04466,1.082934076,0
gambusia,gambusia,g12,acclimation,787,0.15677,0.475555,0.04247,1.093480366,0
gambusia,gambusia,g13,acclimation,47,0.11985,0.521085,0.16745,1.382865374,0
gambusia,gambusia,g14,acclimation,56,0.07959,0.529995,0.26053,1.651764941,0
gambusia,gambusia,g15,acclimation,258,0.11407,0.48083,0.25714,1.72997218,0
gambusia,gambusia,g16,acclimation,675,0.12047,0.727595,-0.00455,0.993766013,0
gambusia,gambusia,g17,acclimation,415,0.13706,0.334355,-0.06961,0.811436775,0
gambusia,gambusia,g18,acclimation,591,0.08614,0.572025,0.26781,1.611270885,0
gambusia,gambusia,g19,acclimation,967,0.11739,0.4618,0.0946,1.228226779,0
gambusia,gambusia,g2,acclimation,34,0.16997,0.408915,-0.05913,0.865147783,0
gambusia,gambusia,g20,acclimation,574,0.13875,0.532145,0.15731,1.346887473,0
gambusia,gambusia,g21,acclimation,106,0.13608,0.72998,0.08832,1.128780146,0
gambusia,gambusia,g22,acclimation,91,0.17655,0.700455,0.29023,1.522616775,1
gambusia,gambusia,g23,acclimation,57,0.13107,0.578745,0.16617,1.33524997,0
gambusia,gambusia,g24,acclimation,54,0.11172,0.530505,-0.07181,0.873219046,0
gambusia,gambusia,g25,acclimation,949,0.08275,0.492845,0.06817,1.148596216,0
gambusia,gambusia,g26,acclimation,1097,0.10233,0.50037,0.0588,1.124848716,0
gambusia,gambusia,g27,acclimation,0,0.10248,0.540355,0.13891,1.29498832,1
gambusia,gambusia,g28,acclimation,492,0.21674,1.19472,-0.29442,0.780599584,0
gambusia,gambusia,g29,acclimation,859,0.13988,0.373255,-0.00347,0.99074642,0
gambusia,gambusia,g3,acclimation,768,0.17883,0.97299,-0.1433,0.862823556,0
gambusia,gambusia,g30,acclimation,1069,0.0883,0.50425,0.0127,1.02550713,0
gambusia,gambusia,g4,acclimation,209,0.12476,0.81671,-0.28122,0.706242427,0
gambusia,gambusia,g5,acclimation,30,0.07666,0.712905,0.06581,1.096779412,0
gambusia,gambusia,g6,acclimation,293,0.1096,0.702235,-0.12885,0.831933321,0
gambusia,gambusia,g7,acclimation,359,0.14287,0.60237,0.00302,1.005026129,0
gambusia,gambusia,g8,acclimation,72,0.12621,0.440225,-0.06347,0.865518264,0
gambusia,gambusia,g9,acclimation,74,0.14993,0.309085,-0.02961,0.908580073,0
poecilia,gambusia,g1,acclimation,8,0.11434,0.40975,0.0055,1.013513514,0
poecilia,gambusia,g10,acclimation,292,0.08593,0.31835,0.0791,1.283715925,0
poecilia,gambusia,g11,acclimation,524,0.10876,0.56083,0.04466,1.082934076,0
poecilia,gambusia,g12,acclimation,246,0.15677,0.475555,0.04247,1.093480366,0
poecilia,gambusia,g13,acclimation,697,0.11985,0.521085,0.16745,1.382865374,0
poecilia,gambusia,g14,acclimation,935,0.07959,0.529995,0.26053,1.651764941,0
poecilia,gambusia,g15,acclimation,542,0.11407,0.48083,0.25714,1.72997218,0
poecilia,gambusia,g16,acclimation,228,0.12047,0.727595,-0.00455,0.993766013,0
poecilia,gambusia,g17,acclimation,167,0.13706,0.334355,-0.06961,0.811436775,0
poecilia,gambusia,g18,acclimation,280,0.08614,0.572025,0.26781,1.611270885,0
poecilia,gambusia,g19,acclimation,102,0.11739,0.4618,0.0946,1.228226779,0
poecilia,gambusia,g2,acclimation,27,0.16997,0.408915,-0.05913,0.865147783,0
poecilia,gambusia,g20,acclimation,347,0.13875,0.532145,0.15731,1.346887473,0
poecilia,gambusia,g21,acclimation,865,0.13608,0.72998,0.08832,1.128780146,0
poecilia,gambusia,g22,acclimation,1061,0.17655,0.700455,0.29023,1.522616775,1
poecilia,gambusia,g23,acclimation,222,0.13107,0.578745,0.16617,1.33524997,0
poecilia,gambusia,g24,acclimation,1002,0.11172,0.530505,-0.07181,0.873219046,0
poecilia,gambusia,g25,acclimation,213,0.08275,0.492845,0.06817,1.148596216,0
poecilia,gambusia,g26,acclimation,0,0.10233,0.50037,0.0588,1.124848716,0
poecilia,gambusia,g27,acclimation,1062,0.10248,0.540355,0.13891,1.29498832,1
poecilia,gambusia,g28,acclimation,352,0.21674,1.19472,-0.29442,0.780599584,0
poecilia,gambusia,g29,acclimation,32,0.13988,0.373255,-0.00347,0.99074642,0
poecilia,gambusia,g3,acclimation,9,0.17883,0.97299,-0.1433,0.862823556,0
poecilia,gambusia,g30,acclimation,0,0.0883,0.50425,0.0127,1.02550713,0
poecilia,gambusia,g4,acclimation,450,0.12476,0.81671,-0.28122,0.706242427,0
poecilia,gambusia,g5,acclimation,564,0.07666,0.712905,0.06581,1.096779412,0
poecilia,gambusia,g6,acclimation,371,0.1096,0.702235,-0.12885,0.831933321,0
poecilia,gambusia,g7,acclimation,47,0.14287,0.60237,0.00302,1.005026129,0
poecilia,gambusia,g8,acclimation,917,0.12621,0.440225,-0.06347,0.865518264,0
poecilia,gambusia,g9,acclimation,38,0.14993,0.309085,-0.02961,0.908580073,0
gambusia,poecilia,p1,acclimation,351,0.20212,0.588815,0.10957,1.205175739,0
gambusia,poecilia,p10,acclimation,32,0.10759,0.391525,0.02711,1.071725269,0
gambusia,poecilia,p11,acclimation,1042,0.11976,0.452745,0.24255,1.731740429,0
gambusia,poecilia,p12,acclimation,245,0.16862,0.49682,-0.00788,0.984263919,0
gambusia,poecilia,p13,acclimation,34,0.15565,0.24578,-0.0033,0.986662895,0
gambusia,poecilia,p14,acclimation,197,0.17434,0.322075,-0.09385,0.745663957,0
gambusia,poecilia,p15,acclimation,1194,0.11162,0.35654,0.00352,1.009921642,1
gambusia,poecilia,p16,acclimation,297,0.1423,0.361665,0.05309,1.158420864,0
gambusia,poecilia,p17,acclimation,270,0.12559,0.35153,0.107,1.359024259,0
gambusia,poecilia,p18,acclimation,702,0.1445,0.279065,0.02779,1.104800694,0
gambusia,poecilia,p19,acclimation,0,0.20816,0.487105,0.12245,1.287522307,0
gambusia,poecilia,p2,acclimation,494,0.10198,0.31549,0.08632,1.316968384,0
gambusia,poecilia,p20,acclimation,619,0.12895,0.396515,0.06981,1.193053289,0
gambusia,poecilia,p21,acclimation,876,0.2139,0.40738,-0.01042,0.974744904,1
gambusia,poecilia,p22,acclimation,251,0.14749,0.380405,-0.00251,0.993423466,0
gambusia,poecilia,p23,acclimation,841,0.18688,0.56085,0.04832,1.090033353,0
gambusia,poecilia,p24,acclimation,26,0.11422,0.37333,0.09526,1.29247774,0
gambusia,poecilia,p25,acclimation,36,0.12934,0.792775,0.24765,1.370207041,0
gambusia,poecilia,p26,acclimation,1144,0.13428,0.390515,0.12281,1.373157911,1
gambusia,poecilia,p27,acclimation,684,0.21031,0.547275,0.03579,1.06760739,0
gambusia,poecilia,p28,acclimation,0,0.10902,0.39429,0.13418,1.410085575,0
gambusia,poecilia,p29,acclimation,562,0.15891,0.39493,-0.04716,0.887314521,1
gambusia,poecilia,p3,acclimation,NA,0.10188,0.310435,0.05159,1.181246487,1
gambusia,poecilia,p30,acclimation,0,0.11888,0.5903,0.25384,1.547800941,0
gambusia,poecilia,p31,acclimation,61,0.14587,0.290135,-0.02703,0.91098304,0
gambusia,poecilia,p32,acclimation,351,0.17234,0.28984,-0.04466,0.856936925,0
gambusia,poecilia,p4,acclimation,NA,0.09894,0.38683,0.1774,1.595042431,1
gambusia,poecilia,p5,acclimation,844,0.16748,0.413275,0.02985,1.074934103,0
gambusia,poecilia,p6,acclimation,40,0.12966,0.629095,-0.09865,0.854588603,0
gambusia,poecilia,p7,acclimation,0,0.12336,0.250315,0.01157,1.047315258,0
gambusia,poecilia,p8,acclimation,194,0.17376,0.36829,0.12156,1.395304218,0
gambusia,poecilia,p9,acclimation,485,0.08932,0.51775,0.0699,1.144780447,0
poecilia,poecilia,p1,acclimation,710,0.20212,0.588815,0.10957,1.205175739,0
poecilia,poecilia,p10,acclimation,816,0.10759,0.391525,0.02711,1.071725269,0
poecilia,poecilia,p11,acclimation,148,0.11976,0.452745,0.24255,1.731740429,0
poecilia,poecilia,p12,acclimation,607,0.16862,0.49682,-0.00788,0.984263919,0
poecilia,poecilia,p13,acclimation,1099,0.15565,0.24578,-0.0033,0.986662895,0
poecilia,poecilia,p14,acclimation,727,0.17434,0.322075,-0.09385,0.745663957,0
poecilia,poecilia,p15,acclimation,0,0.11162,0.35654,0.00352,1.009921642,1
poecilia,poecilia,p16,acclimation,528,0.1423,0.361665,0.05309,1.158420864,0
poecilia,poecilia,p17,acclimation,789,0.12559,0.35153,0.107,1.359024259,0
poecilia,poecilia,p18,acclimation,340,0.1445,0.279065,0.02779,1.104800694,0
poecilia,poecilia,p19,acclimation,1155,0.20816,0.487105,0.12245,1.287522307,0
poecilia,poecilia,p2,acclimation,263,0.10198,0.31549,0.08632,1.316968384,0
poecilia,poecilia,p20,acclimation,232,0.12895,0.396515,0.06981,1.193053289,0
poecilia,poecilia,p21,acclimation,278,0.2139,0.40738,-0.01042,0.974744904,1
poecilia,poecilia,p22,acclimation,830,0.14749,0.380405,-0.00251,0.993423466,0
poecilia,poecilia,p23,acclimation,123,0.18688,0.56085,0.04832,1.090033353,0
poecilia,poecilia,p24,acclimation,1148,0.11422,0.37333,0.09526,1.29247774,0
poecilia,poecilia,p25,acclimation,1064,0.12934,0.792775,0.24765,1.370207041,0
poecilia,poecilia,p26,acclimation,13,0.13428,0.390515,0.12281,1.373157911,1
poecilia,poecilia,p27,acclimation,479,0.21031,0.547275,0.03579,1.06760739,0
poecilia,poecilia,p28,acclimation,1197,0.10902,0.39429,0.13418,1.410085575,0
poecilia,poecilia,p29,acclimation,240,0.15891,0.39493,-0.04716,0.887314521,1
poecilia,poecilia,p3,acclimation,NA,0.10188,0.310435,0.05159,1.181246487,1
poecilia,poecilia,p30,acclimation,1183,0.11888,0.5903,0.25384,1.547800941,0
poecilia,poecilia,p31,acclimation,1046,0.14587,0.290135,-0.02703,0.91098304,0
poecilia,poecilia,p32,acclimation,706,0.17234,0.28984,-0.04466,0.856936925,0
poecilia,poecilia,p4,acclimation,NA,0.09894,0.38683,0.1774,1.595042431,1
poecilia,poecilia,p5,acclimation,34,0.16748,0.413275,0.02985,1.074934103,0
poecilia,poecilia,p6,acclimation,1051,0.12966,0.629095,-0.09865,0.854588603,0
poecilia,poecilia,p7,acclimation,1190,0.12336,0.250315,0.01157,1.047315258,0
poecilia,poecilia,p8,acclimation,936,0.17376,0.36829,0.12156,1.395304218,0
poecilia,poecilia,p9,acclimation,322,0.08932,0.51775,0.0699,1.144780447,0
gambusia,gambusia,g1,preference,58,0.11434,0.40975,0.0055,1.013513514,0
gambusia,gambusia,g10,preference,356,0.08593,0.31835,0.0791,1.283715925,0
gambusia,gambusia,g11,preference,145,0.10876,0.56083,0.04466,1.082934076,0
gambusia,gambusia,g12,preference,768,0.15677,0.475555,0.04247,1.093480366,0
gambusia,gambusia,g13,preference,3,0.11985,0.521085,0.16745,1.382865374,0
gambusia,gambusia,g14,preference,272,0.07959,0.529995,0.26053,1.651764941,0
gambusia,gambusia,g15,preference,1057,0.11407,0.48083,0.25714,1.72997218,0
gambusia,gambusia,g16,preference,386,0.12047,0.727595,-0.00455,0.993766013,0
gambusia,gambusia,g17,preference,623,0.13706,0.334355,-0.06961,0.811436775,0
gambusia,gambusia,g18,preference,435,0.08614,0.572025,0.26781,1.611270885,0
gambusia,gambusia,g19,preference,313,0.11739,0.4618,0.0946,1.228226779,0
gambusia,gambusia,g2,preference,127,0.16997,0.408915,-0.05913,0.865147783,0
gambusia,gambusia,g20,preference,184,0.13875,0.532145,0.15731,1.346887473,0
gambusia,gambusia,g21,preference,690,0.13608,0.72998,0.08832,1.128780146,0
gambusia,gambusia,g22,preference,287,0.17655,0.700455,0.29023,1.522616775,1
gambusia,gambusia,g23,preference,95,0.13107,0.578745,0.16617,1.33524997,0
gambusia,gambusia,g24,preference,648,0.11172,0.530505,-0.07181,0.873219046,0
gambusia,gambusia,g25,preference,269,0.08275,0.492845,0.06817,1.148596216,0
gambusia,gambusia,g26,preference,945,0.10233,0.50037,0.0588,1.124848716,0
gambusia,gambusia,g27,preference,87,0.10248,0.540355,0.13891,1.29498832,1
gambusia,gambusia,g28,preference,417,0.21674,1.19472,-0.29442,0.780599584,0
gambusia,gambusia,g29,preference,118,0.13988,0.373255,-0.00347,0.99074642,0
gambusia,gambusia,g3,preference,1089,0.17883,0.97299,-0.1433,0.862823556,0
gambusia,gambusia,g30,preference,937,0.0883,0.50425,0.0127,1.02550713,0
gambusia,gambusia,g4,preference,240,0.12476,0.81671,-0.28122,0.706242427,0
gambusia,gambusia,g5,preference,96,0.07666,0.712905,0.06581,1.096779412,0
gambusia,gambusia,g6,preference,192,0.1096,0.702235,-0.12885,0.831933321,0
gambusia,gambusia,g7,preference,37,0.14287,0.60237,0.00302,1.005026129,0
gambusia,gambusia,g8,preference,115,0.12621,0.440225,-0.06347,0.865518264,0
gambusia,gambusia,g9,preference,52,0.14993,0.309085,-0.02961,0.908580073,0
gambusia,poecilia,p1,preference,540,0.20212,0.588815,0.10957,1.205175739,0
gambusia,poecilia,p10,preference,418,0.10759,0.391525,0.02711,1.071725269,0
gambusia,poecilia,p11,preference,1081,0.11976,0.452745,0.24255,1.731740429,0
gambusia,poecilia,p12,preference,304,0.16862,0.49682,-0.00788,0.984263919,0
gambusia,poecilia,p13,preference,532,0.15565,0.24578,-0.0033,0.986662895,0
gambusia,poecilia,p14,preference,525,0.17434,0.322075,-0.09385,0.745663957,0
gambusia,poecilia,p15,preference,53,0.11162,0.35654,0.00352,1.009921642,1
gambusia,poecilia,p16,preference,285,0.1423,0.361665,0.05309,1.158420864,0
gambusia,poecilia,p17,preference,271,0.12559,0.35153,0.107,1.359024259,0
gambusia,poecilia,p18,preference,591,0.1445,0.279065,0.02779,1.104800694,0
gambusia,poecilia,p19,preference,430,0.20816,0.487105,0.12245,1.287522307,0
gambusia,poecilia,p2,preference,0,0.10198,0.31549,0.08632,1.316968384,0
gambusia,poecilia,p20,preference,490,0.12895,0.396515,0.06981,1.193053289,0
gambusia,poecilia,p21,preference,145,0.2139,0.40738,-0.01042,0.974744904,1
gambusia,poecilia,p22,preference,608,0.14749,0.380405,-0.00251,0.993423466,0
gambusia,poecilia,p23,preference,463,0.18688,0.56085,0.04832,1.090033353,0
gambusia,poecilia,p24,preference,26,0.11422,0.37333,0.09526,1.29247774,0
gambusia,poecilia,p25,preference,880,0.12934,0.792775,0.24765,1.370207041,0
gambusia,poecilia,p26,preference,1200,0.13428,0.390515,0.12281,1.373157911,1
gambusia,poecilia,p27,preference,577,0.21031,0.547275,0.03579,1.06760739,0
gambusia,poecilia,p28,preference,738,0.10902,0.39429,0.13418,1.410085575,0
gambusia,poecilia,p29,preference,62,0.15891,0.39493,-0.04716,0.887314521,1
gambusia,poecilia,p3,preference,NA,0.10188,0.310435,0.05159,1.181246487,1
gambusia,poecilia,p30,preference,0,0.11888,0.5903,0.25384,1.547800941,0
gambusia,poecilia,p31,preference,600,0.14587,0.290135,-0.02703,0.91098304,0
gambusia,poecilia,p32,preference,346,0.17234,0.28984,-0.04466,0.856936925,0
gambusia,poecilia,p4,preference,NA,0.09894,0.38683,0.1774,1.595042431,1
gambusia,poecilia,p5,preference,539,0.16748,0.413275,0.02985,1.074934103,0
gambusia,poecilia,p6,preference,522,0.12966,0.629095,-0.09865,0.854588603,0
gambusia,poecilia,p7,preference,25,0.12336,0.250315,0.01157,1.047315258,0
gambusia,poecilia,p8,preference,445,0.17376,0.36829,0.12156,1.395304218,0
gambusia,poecilia,p9,preference,1108,0.08932,0.51775,0.0699,1.144780447,0
poecilia,gambusia,g1,preference,167,0.11434,0.40975,0.0055,1.013513514,0
